star,comments,labels
1,My phone has the GlueGate issue...I can see the Green color light on the sides of the display.@huawei : What should I do?,0
5,"Call Quality: No issues whatsoever.Battery Backup: Solid 6.5 to 7 hours of screen on timeSize of the phone: Despite the screen size of ~6.4inches, the phone feels compact and well builtCamera: I own a Pixel with latest camera set up. In daylight, Mate 20 pro's superior hardware gather excellent details. In night mode, Mate 20 pro outputs pic which are sharp leading to more details. Pixel night mode outputs pictures which are soft, has more light and less noise. Its a personal preference, but Pixel is marginally better in software processing, however Mate 20 pro pics are totally worth it. It is 9.5 to Mate 20 pro to 10 to Pixel for night mode alone. Daylight pictures, Mate 20 pro is better than Pixel for details.Kirin 980: Beats 845 easilyFast Charger: You can literally see the difference and this is ONE OF THE BIGGEST + point of Mate 20 proUI: EMUI is a pain, however there are numerous launchers (Microsoft launcher, Pix launcher, Poco launcher, etc) in playstore that makes the user experience pleasant.Overall: No phone comes close to beating Mate 20 pro.",1
5,"This is an amazing piece of hardware you'll be using.. Initially, I waited for the pixel3xl but it was having a horrible design and a terrifying price! Later heard about Mare 20 pro and decided to wait for that. bought it on the launch day itself.. Received the product in three days as promised by Amazon. Wanted the 'emerald green' color but was not available to purchase. Didn't want to wait again.As an iPhone user for nearly 5 years and Samsung user for last one year, I can clearly see the difference in quality! When I bought the Samsung galaxy s8, I was not at all impressed. Did not like its speed and performance{even though it's directly out of box}.Huawei Mate 20 Pro is clearly a beast. The hardware is really good.I thought twilight might be girlish, but it's not. It's really good. But a fingerprint magnet. So I decided to go for Matte sticker on the back body {check the second Image}.Haven't decided whether I should stick the Matte finish on the screen. Worried if the fingerprint sensor would work well or not!The EMUI 9 is not bad, but not great. A lot of things I used in the Samsung UI is missing{like 'secure folder' and a few other apps} and also some other features. They should allow us to customize the 'Always on Display' just like in Samsung. Hope it'll come in the coming updates.The InScreen fingerprint is really good. The face recognition is damn fast but does not work in pitch black(It works very well in LOW LIGHT though). That's when the fingerprint comes in handy.The reverse charging works pretty well but don't expect it to be fast.The 40w adaptor works magic.The display is really good. The 2K+ screen is eye-catching. colors are vivid.Overall its a great phone with great features.Loved the pre-order offer. Sennheiser PXC550 works very well. Although I already owned the Sony WH1000XM2 I had to sell the Sennheiser to my friend. A great Buy. I would say its a 'bang for buck' buy. Don't think twice.",1
1,"I am attaching a pic of 2 mate 20 pro side by side.On left is my phone and on right a second mate 20 pro also purchased on amazon.Both are on same brightness and are displaying same image. Left one clearly shows signs of discoloration on screen.Have requested amazon for a replacement, that is pending a verification from their engineer.okay got confirmed that screen issue but amazon cannot replace but wants to refund only 45000/= its a big jokepoor product , poor #huaweimate20pro , poor Amazon india.Edit got a replacement product From AMAZON.",0
5,Okay...so I had plans to buy pixel 3 or 3XL initially..because I really like phones with a decent camera...but I had to ignore that idea ..because  it was a but too expensive..then as time went by..I started scrolling through YouTube..and got introduced to the mate 20 pro..and I must say I was impressed...and since I have used nexus 6p (which was manufactured by Huawei) I had an idea of Huawei phones..So far I have used this phone for about a week...and below are my opinions about the phone..Pro1. Camera: This phone clicks amazing pictures ....you have a lot of options as well .the wide angle lens..night mode..aperture mode.portrait...and you should try the night mode...it's an absolute beast...though I wish it was a bit more responsive (coz it takes 3-5 secs to get a picture clicked in night mode)..not really very impressed with the selfie camera though..2. Battery : I am a heavy user as far as usage is concerned ...and boy oh boy..this phone can last for a day (with heavy usage) and around a day and half for an average user.3. Processer : I must say that I am very impressed with the hardware of the phone...Kirin 980 impresses ...and scrolling down and multi tasking in this phone is buttery smooth...4. Build Quality : The phone looks premium and you need to check this yourself to agree to this point..Screen is decent .notch is wide..but well placed ..5. Flexibility: Like every android phone..you can modify the phone as per your convenience.it will take a couple of days for you to understand the interface..but trust me..it will get better with time..To be honest..most of Huawei apps are ignorable..except phone cloning...which is a blessing..trust me..you won't loose an iota of your data from your previous phones..Cons1.EMUI needs an update..I hope they update the OS soon..coz it looks a bit primitive...specially when you start off the phone in factory  mode..2. Night mode needs to be a bit more responsive. I didn't like the 3-5 sec delay.3. Very average video camera..specially in dark settings.i think they will tweak the camera settings soon and improve it as time goes byThe cherry on top was the bundle offer with pxc 550..if you get that offer...buy it ..before thinking twice..coz you get a premium Bluetooth headset (arnd30k) for just 2k extra money. I have given an extra star for that..coz that deal is an absolute stealer..Last but not the least..kudos to the Amazon delivery team..I got the phone the next day itself..They are doing an amazing job.,0
1,"Pls kindly don't buy this phone if you are looking for a smoother experience like Oneplus, Apple or Pixel....Performance of this phone is pathetic....Extremely Laggy UI....Only Good part is the Night Mode in this Camera....Even after several tests I got an Antutu score of 225000. Even Samsung is way better than this phone. Pls buy any other phone if you are looking for a buttery smooth performance. Fingerprint scanner is useless.....",1
5,"1. Beautiful looks... slim design..love to hold...Blazing fast performance thanks to kirin 980 7nm very fast chipset....it is more fast than Snapdragon 845....Innovative hardware....2. Network connectivity superb...3. Curved Display looks gorgeous... watching movie and you tube videos on it its superb Experience...Gorgeous Amoled HDR display.4. Loud speaker well enough to hear the ringtones as well as music...type c earphones works well...5. Indisplay fingerprint scanner quite fast but face recognition is super fast.6. Battery 4200 mah is mind blowing... Super fast charging in 30 min 70 percent charge...heavy usage 1 day battery stays and average usage min.. 2 day battery stays with the phone....great battery life7. Camera is Amazing... dslr like images comes out... portrait... low light... AI feature...ultra wide angle camera is fantastic... Brilliant photos comes out...Huawei has really done its bit to push forward mobile photography. it's taken a number of years but the high profile partnership between the company and German optics brand Leica seems to finally be producing immersive results. One of the best smartphone camera out there as well as favourite phone of 2018, it should no surprise that the Mate 20 Pro once again impress with its photography skills.All rounder phone with beauty and brain...loved it... The Huawei Mate 20 Pro is a phone that you'll simply fall in love with.",1
1,Camera specifications are not good.All other Specifications are Just OK.,0
1,Glue gate issue and GPS is not working,0
5,"Phone is very compact and light, best balance of overall performance and cost, for my requirements..!! 😄",1
5,I am so happy to write this review...First of all thank you so much amazon for giving such an amazing deal on this phone...I received my sennheiser headphones a day earlier than the phone and was totally impressed with them...It made me feel like I have already got the bang for my bucks on this phone...And today I received the phone and man....This phone is just so good....It is damn snappy and has amazing display....It is both .. beauty outside and beast inside....Loved it....Thanks amazon for the phone....Highly recommended to anyone who wants all the features in one phone....,0
5,"This is mind-blowing in every way. In previous I was used I phn x, nokia 8 sirroco and also Samsungs S model phone but the features provide by Huawei is amazing and the speed of the phnis fantastic, no one can beat this phn also I phone xs & 3xl. From Battery to camera the phone called BOSS OF 2018.",1
